"chemostat","time","prev0","logit_g","logit_prev"
"chem_epidemic_4",19,1,-0.0143960912935319,3.18378271670264
"chem_epidemic_4",20,1,-0.0127823962582727,3.19882384205672
"chem_epidemic_4",21,1,-0.0330616705081297,3.24976483587011
"chem_epidemic_4",22,1,-0.0539017328654394,3.2838529370741
"chem_epidemic_4",23,1,-0.0823698915815907,3.31604113145801
"chem_epidemic_4",24,1,-0.0902798047309215,3.33588682800471
"chem_epidemic_4",25,1,-0.0963920754640567,3.38313732159067
"chem_epidemic_4",26,1,-0.0823641766613123,3.42389676018138
"chem_epidemic_4",27,1,-0.139627420397432,3.44620699788214
"chem_epidemic_4",28,1,-0.122840930647431,3.46162434138784
"chem_epidemic_4",29,1,-0.152545929771678,3.49976537532493
"chem_epidemic_4",30,1,-0.143731724887169,3.53853463566589
"chem_epidemic_4",31,1,-0.184897782660036,3.5593692218384
"chem_epidemic_4",32,1,-0.185179937186342,3.57484765015126
"chem_epidemic_4",33,1,-0.210718472749677,3.63567332375256
"chem_epidemic_4",34,1,-0.203791136709043,3.64876876371117
"chem_epidemic_4",35,1,-0.211088524376845,3.68139028034589
"chem_epidemic_4",36,1,-0.21951593853714,3.73206029167844
"chem_epidemic_4",37,1,-0.244140906611557,3.73901158767412
"chem_epidemic_4",38,1,-0.246775068776941,3.78478159838601
"chem_epidemic_4",39,1,-0.265831476621737,3.79313120444955
"chem_epidemic_4",40,1,-0.292699722871806,3.83145174473267
"chem_epidemic_4",41,1,-0.299693235488854,3.86336888918631
"chem_epidemic_4",42,1,-0.327263657876267,3.88137600646109
"chem_epidemic_4",43,1,-0.332473412366299,3.91552643815042
"chem_epidemic_4",44,1,-0.331487084568876,3.95025267082961
"chem_epidemic_4",45,1,-0.351356952346424,3.98577331824703
"chem_epidemic_4",46,1,-0.365267115070542,3.99094652306766
"chem_epidemic_4",47,1,-0.393290793644784,4.0322025999186
"chem_epidemic_4",48,1,-0.402021385087323,4.07137697029551
"chem_epidemic_4",49,1,-0.416687128369687,4.08640419788347
"chem_epidemic_4",50,1,-0.418151039112908,4.12191315087664
"chem_epidemic_4",51,1,-0.445070183190764,4.1522808891332
"chem_epidemic_4",52,1,-0.442604044194199,4.17762756198249
"chem_epidemic_4",53,1,-0.472446275624441,4.20894638015995
"chem_epidemic_4",54,1,-0.456052820148527,4.2285269806665
"chem_epidemic_4",55,1,-0.482786639558496,4.25283487342398
"chem_epidemic_4",56,1,-0.507455485664635,4.25763661131562
"chem_epidemic_4",57,1,-0.511086405827952,4.31011557884567
"chem_epidemic_4",58,1,-0.530071380824983,4.34220663887332
"chem_epidemic_4",59,1,-0.535883968015551,4.36999994286853
"chem_epidemic_4",60,1,-0.55020737951291,4.38572009661614
"chem_endemic_4",1,100,-0.0172665296542181,4.62678043372958
"chem_endemic_4",2,100,-0.0276794459968485,4.64645756000911
"chem_endemic_4",3,100,-0.0299828177207008,4.68066648421366
"chem_endemic_4",4,100,-0.0297508536054255,4.72565675061021
"chem_endemic_4",5,100,-0.048397051029875,4.73753827846956
"chem_endemic_4",6,100,-0.0785569925977145,4.77096607888003
"chem_endemic_4",7,100,-0.0771024229415968,4.82957377860158
"chem_endemic_4",8,100,-0.0988879845108328,4.83545526552974
"chem_endemic_4",9,100,-0.108424251198367,4.88116393202529
"chem_endemic_4",10,100,-0.121865465193117,4.87973468772775
"chem_endemic_4",11,100,-0.111744051886167,4.92135055309892
"chem_endemic_4",12,100,-0.162379331472289,4.95604114668792
"chem_endemic_4",13,100,-0.162543928840402,4.98413546775991
"chem_endemic_4",14,100,-0.194378586951312,4.99984071179969
"chem_endemic_4",15,100,-0.183705271945981,5.03873957965741
"chem_endemic_4",16,100,-0.191661575183219,5.05631320586501
"chem_endemic_4",17,100,-0.201194332744829,5.10264713506632
